               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095346,            0.042441,            0.039828,           0.0033611,                   1,            0.023379,           0.0045854,            0.040321,            0.024535,            0.024395,               0.002,               0.002,               0.082
                   1,            0.065783,             0.03674,             0.03585,             0.22085,             0.65333,             0.24241,             0.05303,            0.046521,            0.015265,            0.026281,           0.0040188,           0.0040188,            0.063019
                   2,             0.06623,            0.029629,            0.032749,             0.41211,                 0.6,             0.47588,             0.18394,            0.038515,           0.0096726,            0.023732,           0.0059545,           0.0059545,            0.043954
                   3,            0.062473,            0.025934,            0.024764,             0.49411,             0.61333,             0.64031,             0.21541,            0.036426,           0.0077508,            0.016088,            0.007807,            0.007807,            0.024807
                   4,            0.062908,            0.023444,            0.020301,             0.46082,             0.39871,             0.44269,              0.1098,            0.055165,           0.0070413,           0.0097124,            0.009208,            0.009208,            0.009208
                   5,            0.062536,            0.021556,            0.013796,             0.98768,             0.80002,             0.94523,             0.52158,            0.026743,           0.0078647,           0.0046233,            0.009208,            0.009208,            0.009208
                   6,            0.055389,            0.021624,            0.010635,             0.45551,             0.79546,             0.54221,             0.27762,            0.044255,           0.0071136,           0.0036218,             0.00901,             0.00901,             0.00901
                   7,            0.053089,            0.020903,           0.0097388,             0.81649,             0.75951,             0.91605,             0.44195,            0.027838,           0.0073218,           0.0099348,            0.008812,            0.008812,            0.008812
                   8,            0.047937,            0.020153,           0.0072761,              0.7822,             0.96952,              0.9883,              0.5223,            0.026344,           0.0073766,           0.0013426,            0.008614,            0.008614,            0.008614
                   9,            0.042662,            0.020045,           0.0061495,             0.83534,             0.95794,             0.98169,             0.49229,            0.025996,           0.0066024,           0.0014743,            0.008416,            0.008416,            0.008416
